sentence,label,idx,target
"question: Does this figure return in Avengers End Game ? product: Star Wars The Black Series 6"" Vice Admiral Holdo Figure",0,18035,not funny
question: Is elemental hero neos ultra rare? product: Yu Gi Oh Gx Elemental Hero Custom Deck (41 Cards),1,17099,funny
question: how big is it? product: Bruder Snowmobile with Driver & Accessories,0,11488,not funny
question: Guys was is there a black shadow in the corner of my room product: Winning Moves Games Classic Ouija,1,6647,funny
"question: Q Hi does slappy sneak food or talk in a frige product: Slappy Dummy Ventriloquist Doll ""Star of Goosebumps"" Famous Ventriloquist Dummy. Has glow in the dark eyes. BONUS E-Book 'How to Be a Ventriloquist'",1,15156,funny
question: does it come with coach? product: Swordmaster - RARE Kill Bill Full Tang Handmade Budd Katana Sword Signed By Michael Madsen NIB,1,3635,funny
question: are they big cards product: Pokemon Cards EX Mega Shiny No Repeat 60Pcs/Set 2016,0,3264,not funny
question: will uranium grow my testicular tumor and give me super powers product: Uranium Ore,1,15123,funny
question: why did the price get raised 148? product: Mountain Dew Cans (12 Count 12 Fl Oz Each),0,7529,not funny
question: What is the return policy on this unit? product: FLIR ONE Thermal Imager for iOS,0,14322,not funny
question: Are the more recent shipments made in Turkey? product: Haribo Gummi Candy Goldbears Gummi Candy 5 Pound Bag,0,19038,not funny
question: Is it really made in China product: Trump Make America Great Again Red Cap Collectible Ornament,0,7342,not funny
question: Does the hammer return every time you throw it? if i fall from an airplane and call for the hammer will it catch up to me before i hit the ground? product: Marvel's Avengers Thor HammerBrown/Silver,1,4186,funny
question: which Fred Bear is this? I have never seen this one in any of the games product: Digital Voice RecorderActivated Sound Audio Recorder Dictaphone,0,10321,not funny
question: does this machine fold up to go under my bed? i have very limited space product: LifeSpan TR1200i Folding Treadmill,0,17079,not funny
question: if your a prime member do you get any  disscounts on the elf product: The Elf on the Shelf - Girl Elf Edition with North Pole Blue Eyed Girl Elf  Bonus Pair of Party Skirts and Girl-character Themed Storybook ,0,9191,not funny
question: If I ask Alexa out on a date will she reject me or leave me like all the other women I dated? product: Amazon Echo - White (1st Generation),1,7065,funny
question: Hello americans i can made a nuclear reactor with one of this or need more?  -leader of isis- product: Uranium Ore,1,2482,funny
question: Can unicorns become zombies? If so can the zombie unicorn meat be used accidentally in this canned product? Because I have a craving for brains. product: Think Geek Canned Unicorn Meat,1,1287,funny
question: How are these compared to the PilotG2 gel ink pens? I haven't found anything superior so far. product: Paper Mate InkJoy Gel Retractable Pen 0.7mm Ink Pack of 14 Assorted (1951636),0,7431,not funny
question: Mmmmmmmm whos the hot stud yummy model ;]= product: Mens Ask Me About My Goat T Shirt Flip Up Funny Farm Animal Tee for Guys,1,16432,funny
question: Will this keep me safe at night? product: Stormtrooper,1,3003,funny
question: Where are the fruits and vegetables product: Bounty Paper Towels Print 6 Big Rolls = 8 Regular Rolls Prime Pantry,1,15161,funny
question: Will this be available before Christmas or do i have to wait till Jan. 20th 2017? product: Trump Make America Great Again Red Cap Collectible Ornament,0,2008,not funny
question: Does it have poop inside? product: (12 Pack) 5 oz. Clear Plastic Tumbler / Stackable Restaurant Beverage cupBreak-Resistant,1,9873,funny
question: so can i buy 2000 pounds put it in a centrifuge and get uranium 235 oh and this is for science ahahahahahahah product: Uranium Ore,1,5465,funny
question: I just finished eating a 5 lb block of government cheese. Will this help me in a couple days? product: Haribo Gummi Candy Goldbears Gummi Candy 5 Pound Bag,1,8988,funny
question: Will i pick up more chicks now? product: TOMOLOO Hoverboard,1,9058,funny
question: Excuse Me Can You Tell Me If This Product Available To Shipping Outside US Please product: Healthworks Goji Berries Raw Organic Sun-Dried 1lb,0,3392,not funny
question: Is it really needed to get distilled water? I get reverse osmosis water would that be ok? product: 3 Small Venus Flytraps - Fly Trap - (Dionaea Muscipula) Carnivorous Plant 3 Inch Pot,0,16654,not funny
question: Will my head completely explode when this arrives? product: Dark Souls III: Collectors Edition - PlayStation 4,1,14088,funny
question: Whats this product made of product: NARUTO Hoshigaki Kisame big sword weapon Cosplay Prop,0,10088,not funny
question: Has anyone used these to make the work environment better? product: Selenite Skyscraper (1pc),0,6395,not funny
question: What are the large gold balls that come with these dolls? product: L.O.L Surprise Dolls Series 2 Lil Sisters Ball ...,0,13849,not funny
question: If i put this in my bedroom will the cia watch me? product: Echo Show - 1st Generation Black,1,7202,funny
question: Will this board bring in demons to my life/house or am i completely safe. i am a ghost hunter and i have quite a fair bit of equipment. product: Ouija - William Fuld Talking Board Set by Parker Brothers,1,15481,funny
question: Can I wipe out half the universe with it? product: Zheng New Thanos Glove Costume Left Hand Gloves Infinity Soft PVC Gauntlet Glowing Version (Battery not Included),1,2103,funny
question: Is the Hillary ornament made from sour grapes? product: Trump Make America Great Again Red Cap Collectible Ornament,1,7297,funny
question: is this real product: Think Geek Canned Unicorn Meat,0,16869,not funny
question: Would these go above ankles are they low profile hope not tottaly flat product: DC Men's Villain TX Slip-on Skate Shoes Black Print 10.5D D US,0,10150,not funny
question: Can you make a wish? product: Kitras 6-Inch Birthday Ball March,1,3403,funny
question: Is this price for just 1 package or for several?   awfully high if it is just 1....that is why i ask product: Mars Pet Care Mars Whiskas Temptations Dairy Treat 1 Count One Size,0,4269,not funny
question: can i make a sandwich product: XBOX 360 Video Game-HALO 4,1,11890,funny
question: Is this robe suitable for summoning Old Gods? product: Amayar Men TUNIC Hooded Robe Cloak Knight Fancy Cool Cosplay Costume Black XXL,1,15925,funny
question: Can it kill a zombie product: Samurai Katana Dragon Sword with Engraved Wooden Scabbard and Pommel (White),1,14877,funny
question: How many sheets are in each roll? product: American Art Classics - Donald Trump Toilet Paper - Dump with Trump!- Highly Collectible Novelty Toilet Paper - Funniest Political Gift of 2018,0,428,not funny
question: Would peta sue me for inhaling an animal product: Toro 51619 Ultra Electric Blower Vac 250 mph Red,1,7231,funny
question: How will my Packer-fan neighbors feel about this? Will they move? product: Minnesota Vikings 2008 Team Gnome,1,994,funny
question: If this causes road rage due to using while driving could this be used as a weapon in a road rage situation? product: TRUE LINE Automotive TrueLine Portable Steering Wheel Table Attachment For Eating Laptop ipad Desk (BLACK),1,12163,funny
question: can you make a wish and summon Shenron product: Brand New Dragonball Z Stars Crystal Glass Ball 7pcs with Gift Box,1,2445,funny
question: Should pepperoni be cooked before putting on pizza? product: Patek Philippe Grand Complication Men's Platinium - 5496P-001,1,4916,funny
question: How does this stay on the door? product: I-Flex Jr Stretch Unit,0,3892,not funny
question: shipping to argentina----------------------- product: NewRay 1:12 Motorcycle 2006 Kawasaki Zx-10R- Sport Bike,0,16358,not funny
question: What does the slogan mean? product: Trump Make America Great Again Red Cap Collectible Ornament,0,10516,not funny
question: Is the sword lightwheight and easy enough to move around with? product: Timber Wolf Full Tang Ninja Sword,0,6473,not funny
question: Will this allow the Yeti to float? product: YETI Tarpon Can Insulator Marine Blue,1,10844,funny
question: Please add to your description that this helmet is not legal for SCA combat.  Too many people look for SCA wearable armor here. product: SZCO Supplies Brass Crusader Helmet,0,16477,not funny
question: Is this unit good to do contouring? product: Inagua Mini Spray Tan Pro: Professional Self Tan Without Leaving the House! The Ultimate Airbrush Compressor Kit. Perfect for Indoor Tanning Spray. TWO Screw on Plastic Gravity Feed Fluid Cups,0,13946,not funny
question: I have some what of a demon problem can the katana and the throwing knives killed the demons? product: Zombie Killer Ninja Sword Throwing Knife Set,1,1356,funny
question: Has anyone gotten a chase from here? product: Funko Wonder Woman POP Heroes,1,17431,funny
question: Will this ever be available in the UK:(?? product: Womens Shane Dawson Everyday T-Shirt Small Kelly Green,0,5179,not funny
question: I've been accused of being a tool for which there is no cure. Will this at least allow me to be a swaging tool? product: Yellow Jacket 60460 Multi-Swage Punch 3/16 to 5/8 in,1,8090,funny
question: How many would I need to buy to make America all the way great again? product: Trump Make America Great Again Red Cap Collectible Ornament,1,505,funny
question: are you reduce the price if we want to buy a lot palette? product: Nestle(R) Pure Life(TM) Purified Bottled Water 16.9 Oz. Case Of 24,0,6432,not funny
question: What store can i purchase chester flamin hot popcorn in dublin oh?[ product: Chester's Popcorn Flamin' Hot Corn Snacks 4.25 oz,0,6000,not funny
question: should i buy this or feed my kids product: Samsung UN105S9 Curved 105-Inch 4K Ultra HD 120Hz 3D Smart LED TV,1,5021,funny
question: how strong is the magnet? product: TEC Accessories RETREEV - Mini Grappling Hook Retrieval Tool,0,2643,not funny
question: if i carry this on my hip do you think my landlord wouldnt raise my rent? product: Gerber Gator Machete - Black w/ Nylon Sheath [31-000758],1,8939,funny
question: Didn't governor cuomo ban swaging tools in the state of new york? product: Yellow Jacket 60460 Multi-Swage Punch 3/16 to 5/8 in,0,6610,not funny
question: does the woman come with the necklace? It wouldn't be worth it unless I have someone to share it with:( product: MJartoria Velvet Hair Bows for Girls Pigtail Hair Bow Set with Alligator Clips Hair Barrettes for Baby Girls (hair bow 2),1,17935,funny
question: Is the car included? product: TailGater Tire Table Vehicle Tire-Mounted Steel Camping Travel and Outdoor Work Table,1,9270,funny
question: Does this come with the model wearing it? product: SEXYWG Women's Waist Cincher Trainer Body Tummy Girdle Corset Sport ShaperApricotX-Small / 23-24.5 Waist,1,7720,funny
question: So the age minimum for summoning Satan is 8? product: Winning Moves Games Classic Ouija,1,18456,funny
question: The volvo option says volvo but shows a toyota shirt which one is it ? i want a toyota shirt. product: Red Kap Technician Shirt Volvo XXX-Large,0,10529,not funny
question: When shipped do you ship it in an envelope to a mailbox or a package sent by fedex or usps? product: 2pcs Supernatural Dean Winchester Mask Amulet Demon Pendant Necklace,0,15286,not funny
question: is there a way you can put a blaster on hold product: Nerf Modulus Regulator,0,12317,not funny
question: Has anyone ordered it? And if u have did u get just like you ordered it? And did u get it in time or was it late? product: *Easton Mako Torq XL -3 A11170832 BBCOR Bat 32/29,0,1379,not funny
question: Is Cory my man? product: Cory in the House - Nintendo DS,1,5936,funny
question: What kind of soap are you suggesting?  Preferably something of non-offensive origin.  As in made in a country that has no history of violence. product: Fox Outdor 3'x5' USSR Flag,1,3927,funny
question: Can I order this in a toddler size? product: Three Wolf Moon - Wolf T Shirt The Mountain,0,2872,not funny
question: So what size is Teen? product: Rubie's Teen Jurassic World: Fallen Kingdom Inflatable T-Rex Costume,1,6300,funny
question: Does this offer good control for 4000pdi and higher mouse? product: SteelSeries QcK Gaming Surface - Medium Cloth - Best Selling Mouse Pad of All Time - Optimized For Gaming Sensors,0,7848,not funny
question: Is it battle ready? product: Timber Wolf Full Tang Ninja Sword,1,1135,funny
