dataset,param_metric,top,learning_rate,per_device_train_batch_size,per_device_eval_batch_size,max_steps,lora_rank,lora_alpha,median_accuracy,model_name
PAIR_amazon_dadjokes,best_trained,1,0.0003,2,2,150,64,32,0.8582,Llama-2-7b-hf-PAIR_amazon_dadjokes-COMB-amazon-comb-2-seed-18-2024-12-13
PAIR_amazon_dadjokes,best_trained,2,0.0003,4,4,200,32,8,0.8543,Llama-2-7b-hf-PAIR_amazon_dadjokes-COMB-dadjokes-comb-1-seed-42-2024-12-13
PAIR_amazon_dadjokes,best_trained,3,0.0003,4,4,150,128,8,0.8344,Llama-2-7b-hf-PAIR_amazon_dadjokes-COMB-dadjokes-comb-2-seed-28-2024-12-16
PAIR_amazon_dadjokes,best_median,1,0.0003,4,4,200,32,8,0.7104,Llama-2-7b-hf-PAIR_amazon_dadjokes-COMB-dadjokes-comb-1-seed-42-2024-12-13
PAIR_amazon_dadjokes,best_median,2,0.0003,4,4,150,128,8,0.6977,Llama-2-7b-hf-PAIR_amazon_dadjokes-COMB-dadjokes-comb-2-seed-28-2024-12-16
PAIR_amazon_dadjokes,best_median,3,0.0003,2,2,150,128,8,0.6935,Llama-2-7b-hf-PAIR_amazon_dadjokes-COMB-amazon-comb-3-seed-28-2024-12-13
PAIR_amazon_headlines,best_trained,1,0.0003,2,2,200,32,16,0.8849,Llama-2-7b-hf-PAIR_amazon_headlines-COMB-headlines-comb-2-seed-42-2024-12-17
PAIR_amazon_headlines,best_trained,2,0.0003,2,2,150,64,32,0.8656,Llama-2-7b-hf-PAIR_amazon_headlines-COMB-amazon-comb-2-seed-28-2024-12-12
PAIR_amazon_headlines,best_trained,3,0.0003,2,2,150,32,16,0.8632,Llama-2-7b-hf-PAIR_amazon_headlines-COMB-headlines-comb-1-seed-42-2024-12-13
PAIR_amazon_headlines,best_median,1,5e-05,2,2,200,128,32,0.7050,Llama-2-7b-hf-PAIR_amazon_headlines-COMB-headlines-comb-3-seed-18-2024-12-17
PAIR_amazon_headlines,best_median,2,0.0003,2,2,150,32,8,0.7048,Llama-2-7b-hf-PAIR_amazon_headlines-COMB-amazon-comb-1-seed-28-2024-12-12
PAIR_amazon_headlines,best_median,3,0.0003,2,2,150,128,8,0.7030,Llama-2-7b-hf-PAIR_amazon_headlines-COMB-amazon-comb-3-seed-18-2024-12-12
PAIR_dadjokes_headlines,best_trained,1,0.0003,4,4,200,32,8,0.8930,Llama-2-7b-hf-PAIR_dadjokes_headlines-COMB-dadjokes-comb-1-seed-18-2024-12-13
PAIR_dadjokes_headlines,best_trained,2,0.0003,2,2,200,32,16,0.8908,Llama-2-7b-hf-PAIR_dadjokes_headlines-COMB-headlines-comb-2-seed-7-2024-12-16
PAIR_dadjokes_headlines,best_trained,3,0.0003,2,2,150,32,16,0.8717,Llama-2-7b-hf-PAIR_dadjokes_headlines-COMB-headlines-comb-1-seed-42-2024-12-14
PAIR_dadjokes_headlines,best_median,1,0.0003,2,2,150,32,16,0.7043,Llama-2-7b-hf-PAIR_dadjokes_headlines-COMB-headlines-comb-1-seed-42-2024-12-14
PAIR_dadjokes_headlines,best_median,2,5e-05,2,2,200,128,32,0.6977,Llama-2-7b-hf-PAIR_dadjokes_headlines-COMB-headlines-comb-3-seed-42-2024-12-17
PAIR_dadjokes_headlines,best_median,3,0.0003,4,4,200,32,8,0.6941,Llama-2-7b-hf-PAIR_dadjokes_headlines-COMB-dadjokes-comb-1-seed-18-2024-12-13
PAIR_dadjokes_one_liners,best_trained,1,0.0003,4,4,200,64,64,0.9259,Llama-2-7b-hf-PAIR_dadjokes_one_liners-COMB-one_liners-comb-2-seed-7-2024-12-16
PAIR_dadjokes_one_liners,best_trained,2,0.0003,4,4,200,32,8,0.8823,Llama-2-7b-hf-PAIR_dadjokes_one_liners-COMB-dadjokes-comb-1-seed-42-2024-12-14
PAIR_dadjokes_one_liners,best_trained,3,0.0003,4,4,150,128,8,0.8501,Llama-2-7b-hf-PAIR_dadjokes_one_liners-COMB-dadjokes-comb-2-seed-7-2024-12-14
PAIR_dadjokes_one_liners,best_median,1,0.0003,4,4,200,64,64,0.7083,Llama-2-7b-hf-PAIR_dadjokes_one_liners-COMB-one_liners-comb-2-seed-7-2024-12-16
PAIR_dadjokes_one_liners,best_median,2,0.0003,4,4,200,32,8,0.6939,Llama-2-7b-hf-PAIR_dadjokes_one_liners-COMB-dadjokes-comb-1-seed-42-2024-12-14
PAIR_dadjokes_one_liners,best_median,3,0.0003,4,4,150,128,8,0.6875,Llama-2-7b-hf-PAIR_dadjokes_one_liners-COMB-dadjokes-comb-2-seed-7-2024-12-14
PAIR_headlines_one_liners,best_trained,1,0.0003,4,4,200,64,64,0.9399,Llama-2-7b-hf-PAIR_headlines_one_liners-COMB-one_liners-comb-2-seed-42-2024-12-19
PAIR_headlines_one_liners,best_trained,2,0.0003,2,2,200,32,16,0.9186,Llama-2-7b-hf-PAIR_headlines_one_liners-COMB-headlines-comb-2-seed-28-2024-12-15
PAIR_headlines_one_liners,best_trained,3,0.0003,2,2,150,32,16,0.8929,Llama-2-7b-hf-PAIR_headlines_one_liners-COMB-headlines-comb-1-seed-28-2024-12-15
PAIR_headlines_one_liners,best_median,1,5e-05,4,4,200,128,8,0.6431,Llama-2-7b-hf-PAIR_headlines_one_liners-COMB-one_liners-comb-1-seed-42-2024-12-15
PAIR_headlines_one_liners,best_median,2,0.0003,4,4,200,64,64,0.6396,Llama-2-7b-hf-PAIR_headlines_one_liners-COMB-one_liners-comb-2-seed-42-2024-12-19
PAIR_headlines_one_liners,best_median,3,5e-05,4,4,150,64,16,0.6374,Llama-2-7b-hf-PAIR_headlines_one_liners-COMB-one_liners-comb-3-seed-42-2024-12-19
PAIR_headlines_yelp_reviews,best_trained,1,0.0003,2,2,200,32,16,0.8045,Llama-2-7b-hf-PAIR_headlines_yelp_reviews-COMB-headlines-comb-2-seed-18-2024-12-16
PAIR_headlines_yelp_reviews,best_trained,2,0.0003,2,2,150,32,16,0.7836,Llama-2-7b-hf-PAIR_headlines_yelp_reviews-COMB-headlines-comb-1-seed-7-2024-12-16
PAIR_headlines_yelp_reviews,best_trained,3,5e-05,2,2,200,128,32,0.6589,Llama-2-7b-hf-PAIR_headlines_yelp_reviews-COMB-headlines-comb-3-seed-18-2024-12-16
