dataset,param_metric,top,learning_rate,per_device_train_batch_size,per_device_eval_batch_size,lora_rank,lora_alpha,num_train_epochs,median_accuracy,model_name
LOO_amazon,best_trained,1,0.0003,4,4,32,32,2,0.6766,Llama-2-7b-hf-LOO_amazon-COMB_dadjokes-comb2-seed7-2025-06-17
LOO_amazon,best_trained,2,0.0003,4,4,32,32,2,0.6679,Llama-2-7b-hf-LOO_amazon-COMB_one_liners-comb3-seed18-2025-06-19
LOO_amazon,best_trained,3,0.0003,4,4,128,32,2,0.6640,Llama-2-7b-hf-LOO_amazon-COMB_dadjokes-comb1-seed42-2025-06-17
LOO_amazon,best_median,1,0.0003,4,4,32,32,2,0.8630,Llama-2-7b-hf-LOO_amazon-COMB_one_liners-comb3-seed18-2025-06-19
LOO_amazon,best_median,2,0.0003,4,4,32,32,2,0.8600,Llama-2-7b-hf-LOO_amazon-COMB_dadjokes-comb2-seed7-2025-06-17
LOO_amazon,best_median,3,0.0003,4,4,128,32,2,0.8591,Llama-2-7b-hf-LOO_amazon-COMB_dadjokes-comb1-seed42-2025-06-17
LOO_amazon,best_others_median,1,0.0003,4,4,32,32,2,0.8630,Llama-2-7b-hf-LOO_amazon-COMB_one_liners-comb3-seed18-2025-06-19
LOO_amazon,best_others_median,2,0.0003,4,4,32,32,2,0.8600,Llama-2-7b-hf-LOO_amazon-COMB_dadjokes-comb2-seed7-2025-06-17
LOO_amazon,best_others_median,3,0.0003,4,4,128,32,2,0.8591,Llama-2-7b-hf-LOO_amazon-COMB_dadjokes-comb1-seed42-2025-06-17
LOO_dadjokes,best_trained,1,6e-05,2,2,128,8,2,0.6964,Llama-2-7b-hf-LOO_dadjokes-COMB_headlines-comb1-seed7-2025-06-18
LOO_dadjokes,best_trained,2,5e-05,2,2,128,16,2,0.6687,Llama-2-7b-hf-LOO_dadjokes-COMB_headlines-comb2-seed42-2025-06-18
LOO_dadjokes,best_trained,3,5e-05,4,4,128,16,2,0.6281,Llama-2-7b-hf-LOO_dadjokes-COMB_one_liners-comb2-seed7-2025-06-19
LOO_dadjokes,best_median,1,0.0003,2,2,32,8,2,0.8485,Llama-2-7b-hf-LOO_dadjokes-COMB_amazon-comb2-seed42-2025-06-18
LOO_dadjokes,best_median,2,0.0003,2,2,64,8,2,0.8476,Llama-2-7b-hf-LOO_dadjokes-COMB_amazon-comb1-seed28-2025-06-17
LOO_dadjokes,best_median,3,0.0003,4,4,32,32,2,0.8440,Llama-2-7b-hf-LOO_dadjokes-COMB_one_liners-comb3-seed18-2025-06-19
LOO_dadjokes,best_others_median,1,0.0003,2,2,32,8,2,0.8485,Llama-2-7b-hf-LOO_dadjokes-COMB_amazon-comb2-seed42-2025-06-18
LOO_dadjokes,best_others_median,2,0.0003,2,2,64,8,2,0.8476,Llama-2-7b-hf-LOO_dadjokes-COMB_amazon-comb1-seed28-2025-06-17
LOO_dadjokes,best_others_median,3,0.0003,4,4,32,32,2,0.8440,Llama-2-7b-hf-LOO_dadjokes-COMB_one_liners-comb3-seed18-2025-06-19
LOO_headlines,best_trained,1,0.0003,2,2,32,8,2,0.7024,Llama-2-7b-hf-LOO_headlines-COMB_amazon-comb2-seed7-2025-06-17
LOO_headlines,best_trained,2,0.0003,2,2,64,8,2,0.7004,Llama-2-7b-hf-LOO_headlines-COMB_amazon-comb1-seed18-2025-06-17
LOO_headlines,best_trained,3,0.0003,4,4,128,32,2,0.6821,Llama-2-7b-hf-LOO_headlines-COMB_dadjokes-comb1-seed28-2025-06-18
LOO_headlines,best_median,1,0.0003,2,2,64,8,2,0.8308,Llama-2-7b-hf-LOO_headlines-COMB_amazon-comb1-seed18-2025-06-17
LOO_headlines,best_median,2,0.0003,4,4,32,32,2,0.8259,Llama-2-7b-hf-LOO_headlines-COMB_dadjokes-comb2-seed28-2025-06-18
LOO_headlines,best_median,3,0.0003,2,2,32,8,2,0.8229,Llama-2-7b-hf-LOO_headlines-COMB_amazon-comb2-seed7-2025-06-17
LOO_headlines,best_others_median,1,0.0003,2,2,64,8,2,0.8308,Llama-2-7b-hf-LOO_headlines-COMB_amazon-comb1-seed18-2025-06-17
LOO_headlines,best_others_median,2,0.0003,4,4,32,32,2,0.8259,Llama-2-7b-hf-LOO_headlines-COMB_dadjokes-comb2-seed28-2025-06-18
LOO_headlines,best_others_median,3,0.0003,2,2,32,8,2,0.8229,Llama-2-7b-hf-LOO_headlines-COMB_amazon-comb2-seed7-2025-06-17
LOO_one_liners,best_trained,1,0.0003,4,4,128,8,2,0.7000,Llama-2-7b-hf-LOO_one_liners-COMB_dadjokes-comb3-seed7-2025-06-18
LOO_one_liners,best_trained,2,6e-05,2,2,128,32,2,0.6960,Llama-2-7b-hf-LOO_one_liners-COMB_headlines-comb3-seed7-2025-06-19
LOO_one_liners,best_trained,3,6e-05,2,2,128,32,2,0.6940,Llama-2-7b-hf-LOO_one_liners-COMB_amazon-comb3-seed42-2025-06-18
LOO_one_liners,best_median,1,0.0003,2,2,64,8,2,0.8571,Llama-2-7b-hf-LOO_one_liners-COMB_amazon-comb1-seed28-2025-06-17
LOO_one_liners,best_median,2,0.0003,2,2,32,8,2,0.8558,Llama-2-7b-hf-LOO_one_liners-COMB_amazon-comb2-seed7-2025-06-17
LOO_one_liners,best_median,3,0.0003,4,4,32,32,2,0.8550,Llama-2-7b-hf-LOO_one_liners-COMB_dadjokes-comb2-seed42-2025-06-18
