sentence,label,idx
"Got the democrats ""haha"" but where is bush? and trump? [SEP] Big Mouth Toys Funny Toilet Paper: Obama",1,13035
Where do babies come from? [SEP] Hutzler 571 Banana Slicer,1,5325
What happened to all the dinosaur DNA inside? [SEP] Specialty Products 30007C Barbasol Can Safe,1,12183
Rv - i would like to monitor my dogs while they are in my rv.  could i use this in my rv while parked at a location htat has wi-fi available? [SEP] Amazon Cloud Cam Security Camera Works with Alexa,0,9972
Is there a sizing chart somewhere - not seeing it. Thank you! [SEP] Anima Black Polo Style Pet Shirt Clothes Medium,0,2801
How do you ship it if only Thor can wield the hammer? [SEP] Rubie's Avengers Assemble Thor Hammer Roleplay Toy,1,2461
Is this product returnable? [SEP] A2ZCARE Ankle Weight/Wrist Weight Set with Neoprene Padding for Soft Comfortable Feel (Green (2 lbs Pair)),0,979
DO you guys make custom weapons? [SEP] Dragon Lance/China Spear/High Manganese Steel SpearheadStainless Steel RodLength 86 inch,0,6161
Does it protect you from the black plauge [SEP] Plague Doctor Mask Birds Long Nose Beak Faux Leather Steampunk Halloween Costume Props (Black),1,18574
Will my soul be torn apart? [SEP] Hellraiser Puzzle Box - Lament Configuration,1,18790
Will the snake become a dragon? [SEP] DE-Realistic Rubber Black Mamba Snake Toy Garden Props 52 Inch Long,1,11271
Do you guys have 8ball [SEP] Mattel Games Magic 8 Ball,0,12660
can you kill someone with those headfones? [SEP] Excelvan Folding Wireless Bluetooth LED Stereo Headphones Adjustable Headsets FM Radio/ TF Card for iPhone All Android Smartphones PC Laptop MP3/MP4 Tablet EarphonesGreen,1,12575
was hoping this would be a fix instead of getting a huge desk an monitor. Is this really flimsy? Will the keyboard shake while typing? [SEP] Skyzonal Ergonomic Chair Mount Keyboard Tray Mouse Tray Walnut (Chair Not Included),0,14512
Can you strike a ferro rod on the spine? [SEP] TOPS DESERT NOMAD,1,8049
How many should I eat if I want to survive? [SEP] Haribo Gummi Candy Goldbears Gummi Candy 5 Pound Bag,1,10038
will da govment pay for this so me and my childrens can relax after watchin yall work all day? [SEP] Lifesmart Rock Solid Simplicity Plug and Play 4 Person Hot Tub Spa With 13 Jets,1,3090
Can I get it in hot pink? Lol [SEP] 2016 Santa's Sleigh,0,7110
can be use over cot? Free stand mesh? [SEP] G4Free Portable & Foldable Camping Hammock Net Hammock Tent Capacity 400 lbs Outdoor & Indoor Backyard Hiking Backingpacking Tree Hammocks (110x50 inch)(Camel),0,5419
"In one place it says it is made of tin. In another place it says zinc alloy. My main concern is how to be certain it is lead and cadmium free? [SEP] AVESON Classic Vintage Hollow Magic Genie Light Costume Lamp Home Table Decoration & Gift Small (4.7""x1.7""x2.9"") Copper",0,5679
"Is it multiple ply? [SEP] Nohma Leather Buffalo Hide Leather Rifle Gun Sling Black/Black Stitch Amish Handmade 1"" Wide",0,11302
"Why did Trumpette name these shoes ""Jesus"" in Arabic? is it because they're made for kicking Jesus or kicking people who speak Arabic? [SEP] Ivanka Trump Womens ISSA",1,8184
does it come with a free bowl of soup? [SEP] NETGEAR Nighthawk X4S AC2600 4x4 Dual Band Smart WiFi Router Compatible with Amazon Echo/Alexa (R7800),1,4910
If I buy this do i have to join the dark side? [SEP] iHome Star Wars Death Star Bluetooth Speaker Li-B18.FX,1,8210
Do I really need a hoodie to be considered a creeper? [SEP] Minecraft Creeper Premium Zip-Up Hoodie Small,1,13408
Does it instruck you how to set up [SEP] Echo Show - 1st Generation Black,0,8449
Can I specifically order the blue clad figure? And if so how do I do it? [SEP] Funko Pop! The Vote - Hillary Clinton Vinyl Figure,0,4141
When u say pocket bike do it fit in a pocket?? Cause my son want a bike he can ride on [SEP] XtremepowerUS Gas Pocket Bike Motorcycle 40cc 4-Stroke Engine (Yellow Flame),1,9780
Why ? [SEP] AudioQuest Diamond 16m (52.49 feet) Braided HDMI Cable,1,18561
Which is better this or the Anime? [SEP] Cory in the House - Nintendo DS,0,3489
bug-a-salt 3.0 black fly edition ? [SEP] Bug-A-Salt 2.0 from Skell Inc.,0,6805
Will it keep cats from going through a door to the outside? [SEP] Tattle Tale Sonic Pet Training Alarm,0,9916
I received an invite to purchase this. If I decide that the product is not for me am I able to return it? What is the full return policy? [SEP] Echo Look | Hands-Free Camera and Style Assistant with Alexa-includes Style Check to get a second opinion on your outfit,0,16463
"I have a apartment will they ring the doorbell [SEP] 4Pcs Piggy Pig Family Doll Stuffed Toy 12"" DADDY MOMMY 8"" Children - Bundle/Bulk Buy",1,15545
Is this compatible with PlayStation 4 [SEP] Disney Infinity 3.0 Edition: Star Wars Darth Vader Figure,0,981
Are the buttons on the remote easy enough for small children to operate or do you recommend I buy an inexpensive One for All remote to go with it? [SEP] Samsung UN105S9 Curved 105-Inch 4K Ultra HD 120Hz 3D Smart LED TV,0,9030
but she looks so happy using this product.  How is this possible? [SEP] Laminated Jumbo Wall Calendar,1,8963
How to fixed time? [SEP] Casio Men's MDV106-1AV 200M Duro Analog Watch Black,0,18947
Can saint joseph work from another country if i put him in a green plant with a prayer to my flat far from? [SEP] The Authentic St. Joseph Home Sale Practice,1,14336
