dataset,param_metric,top,learning_rate,per_device_train_batch_size,per_device_eval_batch_size,lora_rank,lora_alpha,num_train_epochs,median_accuracy,model_name
LOO_amazon,best_trained,1,6e-05,2,2,64,16,2,0.6667,Mistral-7B-v0.1-LOO_amazon-COMB_headlines-comb3-seed7-2025-06-10
LOO_amazon,best_trained,2,5e-05,2,2,128,32,2,0.6627,Mistral-7B-v0.1-LOO_amazon-COMB_one_liners-comb3-seed42-2025-06-10
LOO_amazon,best_trained,3,5e-05,2,2,64,32,2,0.6607,Mistral-7B-v0.1-LOO_amazon-COMB_headlines-comb2-seed7-2025-06-10
LOO_amazon,best_median,1,0.0003,2,2,128,16,2,0.9375,Mistral-7B-v0.1-LOO_amazon-COMB_one_liners-comb2-seed7-2025-06-10
LOO_amazon,best_median,2,6e-05,2,2,64,32,2,0.9286,Mistral-7B-v0.1-LOO_amazon-COMB_headlines-comb1-seed18-2025-06-09
LOO_amazon,best_median,3,6e-05,2,2,64,32,2,0.9256,Mistral-7B-v0.1-LOO_amazon-COMB_one_liners-comb1-seed7-2025-06-10
LOO_amazon,best_others_median,1,0.0003,2,2,128,16,2,0.9375,Mistral-7B-v0.1-LOO_amazon-COMB_one_liners-comb2-seed7-2025-06-10
LOO_amazon,best_others_median,2,6e-05,2,2,64,32,2,0.9286,Mistral-7B-v0.1-LOO_amazon-COMB_headlines-comb1-seed18-2025-06-09
LOO_amazon,best_others_median,3,6e-05,2,2,64,32,2,0.9256,Mistral-7B-v0.1-LOO_amazon-COMB_one_liners-comb1-seed7-2025-06-10
LOO_dadjokes,best_trained,1,0.0003,2,2,64,16,2,0.5476,Mistral-7B-v0.1-LOO_dadjokes-COMB_amazon-comb3-seed7-2025-06-09
LOO_dadjokes,best_trained,2,6e-05,2,2,64,16,2,0.5437,Mistral-7B-v0.1-LOO_dadjokes-COMB_headlines-comb3-seed7-2025-06-09
LOO_dadjokes,best_trained,3,5e-05,2,2,64,32,2,0.5377,Mistral-7B-v0.1-LOO_dadjokes-COMB_headlines-comb2-seed42-2025-06-09
LOO_dadjokes,best_median,1,0.0003,2,2,64,32,2,0.9147,Mistral-7B-v0.1-LOO_dadjokes-COMB_amazon-comb1-seed18-2025-06-08
LOO_dadjokes,best_median,2,0.0003,2,2,128,16,2,0.9077,Mistral-7B-v0.1-LOO_dadjokes-COMB_one_liners-comb2-seed42-2025-06-10
LOO_dadjokes,best_median,3,0.0003,2,2,64,8,2,0.9058,Mistral-7B-v0.1-LOO_dadjokes-COMB_amazon-comb2-seed42-2025-06-09
LOO_dadjokes,best_others_median,1,0.0003,2,2,64,32,2,0.9147,Mistral-7B-v0.1-LOO_dadjokes-COMB_amazon-comb1-seed18-2025-06-08
LOO_dadjokes,best_others_median,2,0.0003,2,2,128,16,2,0.9077,Mistral-7B-v0.1-LOO_dadjokes-COMB_one_liners-comb2-seed42-2025-06-10
LOO_dadjokes,best_others_median,3,0.0003,2,2,64,8,2,0.9058,Mistral-7B-v0.1-LOO_dadjokes-COMB_amazon-comb2-seed42-2025-06-09
LOO_headlines,best_trained,1,0.0003,2,2,64,32,2,0.7321,Mistral-7B-v0.1-LOO_headlines-COMB_amazon-comb1-seed28-2025-06-08
LOO_headlines,best_trained,2,0.0003,2,2,64,16,2,0.7063,Mistral-7B-v0.1-LOO_headlines-COMB_amazon-comb3-seed28-2025-06-09
LOO_headlines,best_trained,3,0.0003,2,2,128,16,2,0.6925,Mistral-7B-v0.1-LOO_headlines-COMB_one_liners-comb2-seed42-2025-06-10
LOO_headlines,best_median,1,0.0003,2,2,64,16,2,0.9126,Mistral-7B-v0.1-LOO_headlines-COMB_amazon-comb3-seed28-2025-06-09
LOO_headlines,best_median,2,0.0003,2,2,128,16,2,0.9097,Mistral-7B-v0.1-LOO_headlines-COMB_one_liners-comb2-seed42-2025-06-10
LOO_headlines,best_median,3,0.0003,2,2,64,32,2,0.9097,Mistral-7B-v0.1-LOO_headlines-COMB_amazon-comb1-seed28-2025-06-08
