,sentence,label,idx
0,Synchronization of Behaviour in Grazing Cattle,1,442
1,Mate: Become the Man Women Want,1,1695
2,Exodus of Einstein's Special Theory in Seven Simple Steps,1,437
3,"Partitioning the effects of spatial isolation, nest habitat, and individual diet in causing assortative mating within a population of threespine stickleback.",0,3401
4,Enhanced Histone Acetylation in the Infralimbic Prefrontal Cortex is Associated with Fear Extinction,0,2680
5,"Deep-sea glass sponges (Hexactinellida) from polymetallic nodule fields in the Clarion-Clipperton Fracture Zone (CCFZ), northeastern Pacific: Part II-Hexasterophora",0,1914
6,Disco Fever: Epidemic Meningococcal Disease in Northeastern Argentina Associated With Disco Patronage.,1,228
7,"Despite limitations in content range, the SCIM-III is reproducible and a valid indicator of physical function in youths with spinal cord injury and dysfunction",0,2945
8,Vegemite Allergy?,1,818
9,Diaporthin and Orthosporin from the Fruiting Body of Daldinia concentrica,0,2377
10,The Relation Between Dominance and Exploratory Behavior is Context-Dependent in Wild Great Tits.,1,1641
11,The effect of linear mixing in the EEG on Hurst exponent estimation,0,2971
12,"Licensure of a meningococcal conjugate vaccine for children aged 2 through 10 years and updated booster dose guidance for adolescents and other persons at increased risk for meningococcal disease--Advisory Committee on Immunization Practices (ACIP), 2011.",0,2241
13,Spikes not slots: noise in neural populations limits working memory,0,3085
14,New Results for Lazy Bureaucrat Scheduling Problem.,1,1188
15,3-dimensional buttocks response to sitting: a case report.,1,906
16,Evidence for a supraspinal contribution to the human quadriceps long-latency stretch reflex,0,2835
17,First In-Core Simultaneous Measurements of Nuclear Heating and Thermal Neutron Flux Obtained With the Innovative Mobile Calorimeter CALMOS Inside the OSIRIS Reactor,0,1941
18,3D versus 2D ultrasound: Accuracy of Volume Measurement in Human Cadaver Kidneys.,1,967
19,How to Choose a Seat in Theatres: Always Sit on the Right Side?,1,845
20,An apparent compression cannot explain the difference between the original and the induced Roelofs effect,0,2417
21,The Ratio of 2nd to 4th Digit Length: A New Predictor of Disease Predisposition?,1,312
22,Monogrammic Determinism?,1,365
23,Screening for coronary artery disease in respiratory patients: comparison of single- and dual-source CT in patients with a heart rate above 70 bpm,0,2356
24,The premotor region essential for rapid vertical eye movements shows early involvement in Alzheimer's disease-related cytoskeletal pathology,0,2754
25,Optic disc rim area to retinal nerve fiber layer thickness correlation: comparison of diabetic and normal tension glaucoma eyes,0,2332
26,Functional diversity of astrocytes in neural circuit regulation,0,2926
27,Total agenesis of the corpus callosum in a patient with childhood-onset schizophrenia,0,2883
