,sentence,label,idx
0,"Got the democrats ""haha"" but where is bush? and trump? [SEP] Big Mouth Toys Funny Toilet Paper: Obama",1,13035
1,Where do babies come from? [SEP] Hutzler 571 Banana Slicer,1,5325
2,What happened to all the dinosaur DNA inside? [SEP] Specialty Products 30007C Barbasol Can Safe,1,12183
3,Rv - i would like to monitor my dogs while they are in my rv.  could i use this in my rv while parked at a location htat has wi-fi available? [SEP] Amazon Cloud Cam Security Camera Works with Alexa,0,9972
4,Is there a sizing chart somewhere - not seeing it. Thank you! [SEP] Anima Black Polo Style Pet Shirt Clothes Medium,0,2801
5,How do you ship it if only Thor can wield the hammer? [SEP] Rubie's Avengers Assemble Thor Hammer Roleplay Toy,1,2461
6,Is this product returnable? [SEP] A2ZCARE Ankle Weight/Wrist Weight Set with Neoprene Padding for Soft Comfortable Feel (Green (2 lbs Pair)),0,979
7,DO you guys make custom weapons? [SEP] Dragon Lance/China Spear/High Manganese Steel SpearheadStainless Steel RodLength 86 inch,0,6161
8,Does it protect you from the black plauge [SEP] Plague Doctor Mask Birds Long Nose Beak Faux Leather Steampunk Halloween Costume Props (Black),1,18574
9,Will my soul be torn apart? [SEP] Hellraiser Puzzle Box - Lament Configuration,1,18790
10,Will the snake become a dragon? [SEP] DE-Realistic Rubber Black Mamba Snake Toy Garden Props 52 Inch Long,1,11271
11,Do you guys have 8ball [SEP] Mattel Games Magic 8 Ball,0,12660
12,can you kill someone with those headfones? [SEP] Excelvan Folding Wireless Bluetooth LED Stereo Headphones Adjustable Headsets FM Radio/ TF Card for iPhone All Android Smartphones PC Laptop MP3/MP4 Tablet EarphonesGreen,1,12575
13,was hoping this would be a fix instead of getting a huge desk an monitor. Is this really flimsy? Will the keyboard shake while typing? [SEP] Skyzonal Ergonomic Chair Mount Keyboard Tray Mouse Tray Walnut (Chair Not Included),0,14512
14,Can you strike a ferro rod on the spine? [SEP] TOPS DESERT NOMAD,1,8049
15,How many should I eat if I want to survive? [SEP] Haribo Gummi Candy Goldbears Gummi Candy 5 Pound Bag,1,10038
16,will da govment pay for this so me and my childrens can relax after watchin yall work all day? [SEP] Lifesmart Rock Solid Simplicity Plug and Play 4 Person Hot Tub Spa With 13 Jets,1,3090
17,Can I get it in hot pink? Lol [SEP] 2016 Santa's Sleigh,0,7110
18,can be use over cot? Free stand mesh? [SEP] G4Free Portable & Foldable Camping Hammock Net Hammock Tent Capacity 400 lbs Outdoor & Indoor Backyard Hiking Backingpacking Tree Hammocks (110x50 inch)(Camel),0,5419
