id,bert_sentence,t5_sentence,target,label
16121,When are you going to restock on the medium blue ?? [SEP] Hollywood Star Fashion Women's Sleeveless Button up Jean Denim Jacket Vest (Small Medium Blue),When are you going to restock on the medium blue ?? </s> Hollywood Star Fashion Women's Sleeveless Button up Jean Denim Jacket Vest (Small Medium Blue),not funny,0
19034,"Is this figure new in box or used? [SEP] Bandai Tamashii Nations S.H. Monsterarts Alien Big Chap ""Alien""","Is this figure new in box or used? </s> Bandai Tamashii Nations S.H. Monsterarts Alien Big Chap ""Alien""",not funny,0
12547,i asked if i order the blue pump are they patent leather [SEP] Ivanka Trump Women's Janie Pump,i asked if i order the blue pump are they patent leather </s> Ivanka Trump Women's Janie Pump,not funny,0
810,"What should I do when the toys come to life and exact revenge on me for sitting on them? [SEP] Creative QT Stuffed Animal Storage Bean Bag Chair - Standard Stuff 'n Sit Organization for Kids Toy Storage - Available in a Variety of Sizes and Colors (27"" Grey Floral)","What should I do when the toys come to life and exact revenge on me for sitting on them? </s> Creative QT Stuffed Animal Storage Bean Bag Chair - Standard Stuff 'n Sit Organization for Kids Toy Storage - Available in a Variety of Sizes and Colors (27"" Grey Floral)",funny,1
8923,If I'm running and I'm suddenly hungry can I use these to catch fish? [SEP] AhaStyle 3 Pairs Ear Hooks Covers Accessories Silicone Compatible with Apple AirPods 2 & 1 or EarPods(Milk White),If I'm running and I'm suddenly hungry can I use these to catch fish? </s> AhaStyle 3 Pairs Ear Hooks Covers Accessories Silicone Compatible with Apple AirPods 2 & 1 or EarPods(Milk White),funny,1
925,Could this help me reclaim the holy land? [SEP] SZCO Supplies Brass Crusader Helmet,Could this help me reclaim the holy land? </s> SZCO Supplies Brass Crusader Helmet,funny,1
7490,On a scale of 1 to chris brown how michael jackson is the speaker? [SEP] JBL Flip 3 Splashproof Portable Stereo Bluetooth Speaker (Black),On a scale of 1 to chris brown how michael jackson is the speaker? </s> JBL Flip 3 Splashproof Portable Stereo Bluetooth Speaker (Black),funny,1
10705,Note from China [SEP] Ivanka Trump Women's Carra Dress Pump,Note from China </s> Ivanka Trump Women's Carra Dress Pump,not funny,0
1026,Are the ingredients racially and ethnically diverse? [SEP] Soylent Meal Replacement Drink Original 14 oz Bottles 12 Pack (Packaging May Vary),Are the ingredients racially and ethnically diverse? </s> Soylent Meal Replacement Drink Original 14 oz Bottles 12 Pack (Packaging May Vary),funny,1
9533,can you write a prescription for the state of Texas? [SEP] EverlyWell - at-Home Chlamydia and Gonorrhea Test - Discreetly Test for Chlamydia and Gonorrhea (Not Available in NY NJ RI MD),can you write a prescription for the state of Texas? </s> EverlyWell - at-Home Chlamydia and Gonorrhea Test - Discreetly Test for Chlamydia and Gonorrhea (Not Available in NY NJ RI MD),funny,1
15135,"Does this plant come with any care instructions? [SEP] Hirt's Gardens B000NDU2TI 9GreenBox Goldfish Plant-4"" Pot-Blooms Frequently","Does this plant come with any care instructions? </s> Hirt's Gardens B000NDU2TI 9GreenBox Goldfish Plant-4"" Pot-Blooms Frequently",not funny,0
14271,Can you make this shield to accomodate a left handed combatant? (Special order?) Also can you leave the gold lions and fleur de lis off the face? [SEP] Knight Templar Royal Crusader Shield Red Cross w/ Grid,Can you make this shield to accomodate a left handed combatant? (Special order?) Also can you leave the gold lions and fleur de lis off the face? </s> Knight Templar Royal Crusader Shield Red Cross w/ Grid,not funny,0
13815,Does it come with the slogan on the back? [SEP] Ivanka Trump Women's Zipper Sweater,Does it come with the slogan on the back? </s> Ivanka Trump Women's Zipper Sweater,not funny,0
15372,Is this the 4g model ? [SEP] Samsung Gear S3 Frontier Smartwatch (Bluetooth)  SM-R760NDAAXAR - US Version with Warranty,Is this the 4g model ? </s> Samsung Gear S3 Frontier Smartwatch (Bluetooth)  SM-R760NDAAXAR - US Version with Warranty,not funny,0
18415,Do you have to create a robot for each sensor or you can group them together and do only one robot in the app? [SEP] GOCONTROL WNK01-311KIT Premium Z-Wave Home Security Suite,Do you have to create a robot for each sensor or you can group them together and do only one robot in the app? </s> GOCONTROL WNK01-311KIT Premium Z-Wave Home Security Suite,not funny,0
860,Is this a real thing or am I having a fever dream in which the cover of a Chuck Tingle book comes to life? [SEP] Giant Gummy Bears  Party Python 8 ft 26.9 lbs,Is this a real thing or am I having a fever dream in which the cover of a Chuck Tingle book comes to life? </s> Giant Gummy Bears  Party Python 8 ft 26.9 lbs,funny,1
17077,My wife likes to take selfies with her dslr is this a good lens for that? [SEP] Sigma 200-500mm f/2.8 APO EX DG Ultra-Telephoto Zoom Lens for Nikon DSLR Cameras,My wife likes to take selfies with her dslr is this a good lens for that? </s> Sigma 200-500mm f/2.8 APO EX DG Ultra-Telephoto Zoom Lens for Nikon DSLR Cameras,not funny,0
17782,How many bottles can I buy at once? [SEP] Grave Before Shave Beard Growth Supplement (60 Capsules per Bottle),How many bottles can I buy at once? </s> Grave Before Shave Beard Growth Supplement (60 Capsules per Bottle),not funny,0
9465,If I spill salsa on my baby’s head can I just lick it off or should I try to get it back on my chip? [SEP] Ergobaby 360 Cool Air Baby Carrier-Carbon Grey-One Size,If I spill salsa on my baby’s head can I just lick it off or should I try to get it back on my chip? </s> Ergobaby 360 Cool Air Baby Carrier-Carbon Grey-One Size,funny,1
17417,will this fit over a lot of hair? [SEP] Rubie's Characters Old Lady/Mrs. Santa Wig One Size,will this fit over a lot of hair? </s> Rubie's Characters Old Lady/Mrs. Santa Wig One Size,not funny,0
15746,"How long do the 877 last? Some reviews say they wear out to quickly and some say they last decades. Cheers if you can answer this [SEP] Red Wing Motorcycle Men's 877 8"" Classic Moc BootOro iginal6 D US","How long do the 877 last? Some reviews say they wear out to quickly and some say they last decades. Cheers if you can answer this </s> Red Wing Motorcycle Men's 877 8"" Classic Moc BootOro iginal6 D US",not funny,0
16184,I'm 5.1 about 126 pounds which size should I get ? [SEP] SEXYWG Women's Waist Cincher Trainer Body Tummy Girdle Corset Sport ShaperApricotX-Small / 23-24.5 Waist,I'm 5.1 about 126 pounds which size should I get ? </s> SEXYWG Women's Waist Cincher Trainer Body Tummy Girdle Corset Sport ShaperApricotX-Small / 23-24.5 Waist,not funny,0
9478,why is the cat pictured in the photo so ugly? Will my cat become ugly if he uses this bed? [SEP] MushroomCat Soft Fleece Cat Bed Warm Sleeping Bed for Cats Self Triangle cat nest (L),why is the cat pictured in the photo so ugly? Will my cat become ugly if he uses this bed? </s> MushroomCat Soft Fleece Cat Bed Warm Sleeping Bed for Cats Self Triangle cat nest (L),funny,1
3451,Can this cure popeye [SEP] Fritz Mardel - QuickCure Ich Treatment - 4oz,Can this cure popeye </s> Fritz Mardel - QuickCure Ich Treatment - 4oz,funny,1
5276,Does this scope make sandwiches and give a great massage? [SEP] Nikon M-223 4-16x42mm Rifle Scope BDC 600 Reticle 8493 w/ Standard M-223,Does this scope make sandwiches and give a great massage? </s> Nikon M-223 4-16x42mm Rifle Scope BDC 600 Reticle 8493 w/ Standard M-223,funny,1
11643,What's the Total Length of these swords well just one from hook end to dagger end? [SEP] MAKOTO Chinese Hook Swords Set of 2 Silver,What's the Total Length of these swords well just one from hook end to dagger end? </s> MAKOTO Chinese Hook Swords Set of 2 Silver,not funny,0
3569,Based on the other questions I'm concerned. Is there a special version for blonde women? [SEP] BIC For Her Retractable Ball Pen Medium Point 1.0 mm Black Ink 2 Count (FHAP21-Black),Based on the other questions I'm concerned. Is there a special version for blonde women? </s> BIC For Her Retractable Ball Pen Medium Point 1.0 mm Black Ink 2 Count (FHAP21-Black),funny,1
