dataset,param_metric,top,learning_rate,per_device_train_batch_size,per_device_eval_batch_size,lora_rank,lora_alpha,num_train_epochs,median_accuracy,model_name
PAIR_amazon_dadjokes,best_median,1,0.0003,2,2,64,8,2,0.8212,Mistral-7B-v0.1-PAIR_amazon_dadjokes-COMB-amazon-comb-2-seed-18-2025-06-11
PAIR_amazon_dadjokes,best_median,2,0.0003,2,2,64,32,2,0.8194,Mistral-7B-v0.1-PAIR_amazon_dadjokes-COMB-amazon-comb-1-seed-7-2025-06-11
PAIR_amazon_dadjokes,best_median,3,0.0003,2,2,64,16,2,0.8125,Mistral-7B-v0.1-PAIR_amazon_dadjokes-COMB-amazon-comb-3-seed-7-2025-06-11
PAIR_amazon_headlines,best_median,1,0.0003,2,2,64,8,2,0.7864,Mistral-7B-v0.1-PAIR_amazon_headlines-COMB-amazon-comb-2-seed-28-2025-06-12
PAIR_amazon_headlines,best_median,2,0.0003,2,2,64,32,2,0.7808,Mistral-7B-v0.1-PAIR_amazon_headlines-COMB-amazon-comb-1-seed-7-2025-06-12
PAIR_amazon_headlines,best_median,3,6e-05,2,2,64,32,2,0.7688,Mistral-7B-v0.1-PAIR_amazon_headlines-COMB-headlines-comb-1-seed-28-2025-06-13
PAIR_dadjokes_headlines,best_median,1,6e-05,2,2,64,8,2,0.8343,Mistral-7B-v0.1-PAIR_dadjokes_headlines-COMB-dadjokes-comb-1-seed-28-2025-06-11
PAIR_dadjokes_headlines,best_median,2,5e-05,2,2,64,8,2,0.8333,Mistral-7B-v0.1-PAIR_dadjokes_headlines-COMB-dadjokes-comb-2-seed-28-2025-06-11
PAIR_dadjokes_headlines,best_median,3,5e-05,2,2,32,8,2,0.8323,Mistral-7B-v0.1-PAIR_dadjokes_headlines-COMB-dadjokes-comb-3-seed-28-2025-06-11
PAIR_dadjokes_one_liners,best_median,1,0.0003,2,2,128,16,2,0.8155,Mistral-7B-v0.1-PAIR_dadjokes_one_liners-COMB-one_liners-comb-2-seed-7-2025-06-13
PAIR_dadjokes_one_liners,best_median,2,6e-05,2,2,64,32,2,0.7907,Mistral-7B-v0.1-PAIR_dadjokes_one_liners-COMB-one_liners-comb-1-seed-7-2025-06-13
PAIR_dadjokes_one_liners,best_median,3,6e-05,2,2,64,8,2,0.7817,Mistral-7B-v0.1-PAIR_dadjokes_one_liners-COMB-dadjokes-comb-1-seed-18-2025-06-12
PAIR_headlines_one_liners,best_median,1,0.0003,2,2,128,16,2,0.7877,Mistral-7B-v0.1-PAIR_headlines_one_liners-COMB-one_liners-comb-2-seed-42-2025-06-12
PAIR_headlines_one_liners,best_median,2,5e-05,2,2,64,32,2,0.7560,Mistral-7B-v0.1-PAIR_headlines_one_liners-COMB-headlines-comb-2-seed-7-2025-06-11
PAIR_headlines_one_liners,best_median,3,6e-05,2,2,64,32,2,0.7550,Mistral-7B-v0.1-PAIR_headlines_one_liners-COMB-headlines-comb-1-seed-42-2025-06-11
PAIR_one_liners_amazon,best_median,1,0.0003,2,2,64,32,2,0.8135,Mistral-7B-v0.1-PAIR_one_liners_amazon-COMB-amazon-comb-1-seed-18-2025-06-13
PAIR_one_liners_amazon,best_median,2,0.0003,2,2,128,16,2,0.8046,Mistral-7B-v0.1-PAIR_one_liners_amazon-COMB-one_liners-comb-2-seed-28-2025-06-12
PAIR_one_liners_amazon,best_median,3,0.0003,2,2,64,16,2,0.8026,Mistral-7B-v0.1-PAIR_one_liners_amazon-COMB-amazon-comb-3-seed-42-2025-06-16
