dataset,param_metric,top,seed,learning_rate,per_device_train_batch_size,per_device_eval_batch_size,lora_rank,lora_alpha,num_train_epochs,median_accuracy,model_name
amazon,best_trained,1,42,0.0003,2,2,64,32,2,0.8691,Llama-3.1-8B-amazon-2025-06-11
amazon,best_trained,2,42,0.0003,2,2,128,32,2,0.8689,Llama-3.1-8B-amazon-2025-06-11
amazon,best_trained,3,42,0.0003,2,2,32,16,2,0.8637,Llama-3.1-8B-amazon-2025-06-11
amazon,best_median,1,42,0.0003,2,2,32,8,2,0.6993,Llama-3.1-8B-amazon-2025-06-11
amazon,best_median,2,42,0.0003,2,2,128,32,2,0.6907,Llama-3.1-8B-amazon-2025-06-11
amazon,best_median,3,42,0.0003,2,2,64,32,2,0.6835,Llama-3.1-8B-amazon-2025-06-11
amazon,best_others_median,1,42,0.0003,2,2,32,8,2,0.6724,Llama-3.1-8B-amazon-2025-06-11
amazon,best_others_median,2,42,6e-05,2,2,128,32,2,0.6579,Llama-3.1-8B-amazon-2025-06-11
amazon,best_others_median,3,42,0.0003,2,2,128,32,2,0.6572,Llama-3.1-8B-amazon-2025-06-11
dadjokes,best_trained,1,42,0.0003,4,4,64,32,2,0.9210,Llama-3.1-8B-dadjokes-2025-06-10
dadjokes,best_trained,2,42,0.0003,4,4,128,16,2,0.9056,Llama-3.1-8B-dadjokes-2025-06-10
dadjokes,best_trained,3,42,0.0003,4,4,32,16,2,0.9029,Llama-3.1-8B-dadjokes-2025-06-10
dadjokes,best_median,1,42,0.0003,4,4,64,32,2,0.6544,Llama-3.1-8B-dadjokes-2025-06-10
dadjokes,best_median,2,42,0.0003,4,4,32,16,2,0.6532,Llama-3.1-8B-dadjokes-2025-06-10
dadjokes,best_median,3,42,0.0003,4,4,32,8,2,0.6481,Llama-3.1-8B-dadjokes-2025-06-10
dadjokes,best_others_median,1,42,0.0003,4,4,32,16,2,0.6353,Llama-3.1-8B-dadjokes-2025-06-10
dadjokes,best_others_median,2,42,0.0003,4,4,128,16,2,0.6337,Llama-3.1-8B-dadjokes-2025-06-10
dadjokes,best_others_median,3,42,0.0003,4,4,32,8,2,0.6306,Llama-3.1-8B-dadjokes-2025-06-10
headlines,best_trained,1,42,0.0003,2,2,64,16,2,0.9579,Llama-3.1-8B-headlines-2025-06-11
headlines,best_trained,2,42,0.0003,2,2,32,32,2,0.9572,Llama-3.1-8B-headlines-2025-06-11
headlines,best_trained,3,42,0.0003,2,2,64,32,2,0.9566,Llama-3.1-8B-headlines-2025-06-11
headlines,best_median,1,42,0.0003,2,2,32,32,2,0.6362,Llama-3.1-8B-headlines-2025-06-11
headlines,best_median,2,42,0.0003,2,2,64,16,2,0.6230,Llama-3.1-8B-headlines-2025-06-11
headlines,best_median,3,42,0.0003,2,2,64,32,2,0.6069,Llama-3.1-8B-headlines-2025-06-11
headlines,best_others_median,1,42,0.0003,2,2,32,32,2,0.6225,Llama-3.1-8B-headlines-2025-06-11
headlines,best_others_median,2,42,0.0003,2,2,64,16,2,0.6100,Llama-3.1-8B-headlines-2025-06-11
headlines,best_others_median,3,42,0.0003,2,2,64,32,2,0.6043,Llama-3.1-8B-headlines-2025-06-11
one_liners,best_trained,1,42,0.0003,4,4,128,32,2,0.9033,Llama-3.1-8B-one_liners-2025-06-09
one_liners,best_trained,2,42,0.0003,4,4,128,16,2,0.8644,Llama-3.1-8B-one_liners-2025-06-09
one_liners,best_trained,3,42,0.0003,4,4,32,8,2,0.8539,Llama-3.1-8B-one_liners-2025-06-11
one_liners,best_median,1,42,5e-05,4,4,32,32,2,0.5413,Llama-3.1-8B-one_liners-2025-06-09
one_liners,best_median,2,42,6e-05,4,4,64,32,2,0.5398,Llama-3.1-8B-one_liners-2025-06-11
one_liners,best_median,3,42,6e-05,4,4,64,16,2,0.5345,Llama-3.1-8B-one_liners-2025-06-09
one_liners,best_others_median,1,42,5e-05,4,4,32,32,2,0.5352,Llama-3.1-8B-one_liners-2025-06-09
one_liners,best_others_median,2,42,6e-05,4,4,64,16,2,0.5324,Llama-3.1-8B-one_liners-2025-06-09
one_liners,best_others_median,3,42,6e-05,4,4,64,32,2,0.5294,Llama-3.1-8B-one_liners-2025-06-11
