sentence,label,idx
My left ear has falling out of the prongs and now my headset on the left just dangles may I receive a replacement since my year hasn’t expired [SEP] Bluetooth Headset Bluetooth Headphones-LBell 30 Hrs Playtime Wireless Neckband Design W/Foldable Retractable Headset for Cellphones Samsung Galaxy S9 Note 8 (Black),0,0
How mutch potatoes does the cat cost [SEP] Intex Reef Ryder Masks - Assorted Colors,1,1
Are these any good for curb stomping zombies? [SEP] Timberland Men's Classic 6&quot Premium Boot Wheat Nubuck 9 M US,1,2
Is it safe to press the Cyber Sleep button with both of my dogs in the capsule? [SEP] Relaxman Relaxation Capsule,1,3
I saw a product called soy milk. is that your product identifying itself in spanish? [SEP] Tuscan Dairy Whole Vitamin D Milk Gallon 128 oz,0,4
Where is this made? usa or china or somewhere else? [SEP] Trumpy Bear - As Seen on TV,0,5
Who dat man plz [SEP] World's Largest Gummy Worm- Cherry/Blue Rasberry,0,6
"Will he help me in Call of Duty Ghosts? 😊 [SEP] Animal Alley Plush 9"" German Shepherd Dog Black and Tan",1,7
Is there a chance of passing out from this cutting off the blood flow to your head? [SEP] Insta Cure Cervical Traction Device for Neck and Spine Pain Relief Navy Blue,1,8
how you like this expensive milk.... yall this milk makes you strong like mr.bean [SEP] Tuscan Dairy Whole Vitamin D Milk Gallon 128 oz,1,9
Will mom be able to smell the poop [SEP] Foot Traffic - Men's Wacky Novelty Socks Poop Happens (Shoe Sizes 7-12),1,10
What's it made out of? [SEP] HONB Unisex Zinc Alloy Batman Batarang Money Clip Slim Novelty Money Clip,0,11
Are these shirts bullet proof for 140$ i would hope so? [SEP] 5.11 Tactical TacLite Professional Long Sleeve Shirt TDU Khaki Large,1,12
Is the mattress included [SEP] Zinus Wen 12 Inch Wood Platform Bed / No Box Spring Needed / Wood Slat Support / Cherry Finish Full,0,13
Looking for a set for a right handed 6’3 men’s golf set [SEP] Callaway Men's Strata Tour Complete Golf Set Prior Generation (18-Piece Right Hand Regular Flex),0,14
Does this can opener help regrow hair like the badge in the figure claims? [SEP] Can Opener Manual Smooth Edge Stainless Steel Can Opener Heavy Duty Can Openers Ergonomic Non-slip Handle 3-in-1 Easy Use,1,15
Will the color of plastic stemless wine glasses fade? [SEP] Ketia Stemless Plastic Wine Glasses with Saying[4 PCS/Set 16 Oz]~ Premium Quality Wine Tumbler~ Shatterproof Reusable Plastic Wine Cups~Great Whale~Indoor/Outdoor Barware ~,0,16
is the devil inside this product [SEP] The Mountain Adult Unisex T-Shirt - Three Wolf Moon Classic,1,17
Can this device order anything on amazon? [SEP] Echo Dot (2nd Generation) - Smart speaker with Alexa - Black,0,18
