,sentence,label,idx
0,"Does this figure return in Avengers End Game ? [SEP] Star Wars The Black Series 6"" Vice Admiral Holdo Figure",0,18035
1,Is elemental hero neos ultra rare? [SEP] Yu Gi Oh Gx Elemental Hero Custom Deck (41 Cards),1,17099
2,how big is it? [SEP] Bruder Snowmobile with Driver & Accessories,0,11488
3,Guys was is there a black shadow in the corner of my room [SEP] Winning Moves Games Classic Ouija,1,6647
4,"Q Hi does slappy sneak food or talk in a frige [SEP] Slappy Dummy Ventriloquist Doll ""Star of Goosebumps"" Famous Ventriloquist Dummy. Has glow in the dark eyes. BONUS E-Book 'How to Be a Ventriloquist'",1,15156
5,does it come with coach? [SEP] Swordmaster - RARE Kill Bill Full Tang Handmade Budd Katana Sword Signed By Michael Madsen NIB,1,3635
6,are they big cards [SEP] Pokemon Cards EX Mega Shiny No Repeat 60Pcs/Set 2016,0,3264
7,will uranium grow my testicular tumor and give me super powers [SEP] Uranium Ore,1,15123
8,why did the price get raised 148? [SEP] Mountain Dew Cans (12 Count 12 Fl Oz Each),0,7529
9,What is the return policy on this unit? [SEP] FLIR ONE Thermal Imager for iOS,0,14322
10,Are the more recent shipments made in Turkey? [SEP] Haribo Gummi Candy Goldbears Gummi Candy 5 Pound Bag,0,19038
11,Is it really made in China [SEP] Trump Make America Great Again Red Cap Collectible Ornament,0,7342
12,Does the hammer return every time you throw it? if i fall from an airplane and call for the hammer will it catch up to me before i hit the ground? [SEP] Marvel's Avengers Thor HammerBrown/Silver,1,4186
13,which Fred Bear is this? I have never seen this one in any of the games [SEP] Digital Voice RecorderActivated Sound Audio Recorder Dictaphone,0,10321
14,does this machine fold up to go under my bed? i have very limited space [SEP] LifeSpan TR1200i Folding Treadmill,0,17079
15,if your a prime member do you get any  disscounts on the elf [SEP] The Elf on the Shelf - Girl Elf Edition with North Pole Blue Eyed Girl Elf  Bonus Pair of Party Skirts and Girl-character Themed Storybook ,0,9191
16,If I ask Alexa out on a date will she reject me or leave me like all the other women I dated? [SEP] Amazon Echo - White (1st Generation),1,7065
17,Hello americans i can made a nuclear reactor with one of this or need more?  -leader of isis- [SEP] Uranium Ore,1,2482
18,Can unicorns become zombies? If so can the zombie unicorn meat be used accidentally in this canned product? Because I have a craving for brains. [SEP] Think Geek Canned Unicorn Meat,1,1287
