dataset,param_metric,top,learning_rate,per_device_train_batch_size,per_device_eval_batch_size,max_steps,lora_rank,lora_alpha,median_accuracy,model_name,comb
PAIR_amazon_dadjokes,best_median,1,6e-05,2,2,150,64,16,0.7618,Mistral-7B-v0.1-dadjokes-2024-12-27,Mistral-7B-v0.1-PAIR_amazon_dadjokes-COMB-dadjokes-comb-2-seed-18-2025-02-04
PAIR_amazon_dadjokes,best_median,2,6e-05,2,2,150,32,16,0.7513,Mistral-7B-v0.1-dadjokes-2024-12-30,Mistral-7B-v0.1-PAIR_amazon_dadjokes-COMB-dadjokes-comb-1-seed-42-2025-02-04
PAIR_amazon_dadjokes,best_median,3,0.0003,2,2,200,128,8,0.7258,Mistral-7B-v0.1-amazon-2025-01-06,Mistral-7B-v0.1-PAIR_amazon_dadjokes-COMB-amazon-comb-1-seed-42-2025-02-03
PAIR_amazon_headlines,best_median,1,5e-05,2,2,150,128,16,0.7414,Mistral-7B-v0.1-headlines-2025-01-06,Mistral-7B-v0.1-PAIR_amazon_headlines-COMB-headlines-comb-1-seed-28-2025-02-09
PAIR_amazon_headlines,best_median,2,5e-05,2,2,200,32,8,0.7336,Mistral-7B-v0.1-headlines-2025-01-01,Mistral-7B-v0.1-PAIR_amazon_headlines-COMB-headlines-comb-3-seed-42-2025-02-09
PAIR_amazon_headlines,best_median,3,6e-05,2,2,150,128,16,0.7197,Mistral-7B-v0.1-headlines-2024-12-28,Mistral-7B-v0.1-PAIR_amazon_headlines-COMB-headlines-comb-2-seed-28-2025-02-09
PAIR_dadjokes_headlines,best_median,1,5e-05,2,2,150,128,16,0.7559,Mistral-7B-v0.1-headlines-2025-01-06,Mistral-7B-v0.1-PAIR_dadjokes_headlines-COMB-headlines-comb-1-seed-18-2025-02-03
PAIR_dadjokes_headlines,best_median,2,6e-05,2,2,150,128,16,0.7533,Mistral-7B-v0.1-headlines-2024-12-28,Mistral-7B-v0.1-PAIR_dadjokes_headlines-COMB-headlines-comb-2-seed-28-2025-02-03
PAIR_dadjokes_headlines,best_median,3,5e-05,2,2,200,32,8,0.7454,Mistral-7B-v0.1-dadjokes-2024-12-30,Mistral-7B-v0.1-PAIR_dadjokes_headlines-COMB-dadjokes-comb-3-seed-28-2025-02-03
PAIR_dadjokes_one_liners,best_median,1,0.0003,2,2,150,32,32,0.6816,Mistral-7B-v0.1-one_liners-2024-12-27,Mistral-7B-v0.1-PAIR_dadjokes_one_liners-COMB-one_liners-comb-3-seed-18-2025-02-04
PAIR_dadjokes_one_liners,best_median,2,6e-05,2,2,150,32,16,0.6691,Mistral-7B-v0.1-dadjokes-2024-12-30,Mistral-7B-v0.1-PAIR_dadjokes_one_liners-COMB-dadjokes-comb-1-seed-18-2025-02-04
PAIR_dadjokes_one_liners,best_median,3,5e-05,2,2,200,32,8,0.6651,Mistral-7B-v0.1-dadjokes-2024-12-30,Mistral-7B-v0.1-PAIR_dadjokes_one_liners-COMB-dadjokes-comb-3-seed-28-2025-02-04
PAIR_headlines_one_liners,best_median,1,0.0003,2,2,150,32,32,0.6584,Mistral-7B-v0.1-one_liners-2024-12-27,Mistral-7B-v0.1-PAIR_headlines_one_liners-COMB-one_liners-comb-3-seed-28-2025-02-04
PAIR_headlines_one_liners,best_median,2,0.0003,2,2,200,64,8,0.6204,Mistral-7B-v0.1-one_liners-2025-01-10,Mistral-7B-v0.1-PAIR_headlines_one_liners-COMB-one_liners-comb-1-seed-28-2025-02-04
PAIR_headlines_one_liners,best_median,3,0.0003,2,2,150,128,16,0.603,Mistral-7B-v0.1-one_liners-2024-12-28,Mistral-7B-v0.1-PAIR_headlines_one_liners-COMB-one_liners-comb-2-seed-18-2025-02-04
PAIR_headlines_yelp_reviews,best_median,1,6e-05,2,2,150,64,16,0.6599,Mistral-7B-v0.1-yelp_reviews-2025-01-24,Mistral-7B-v0.1-PAIR_headlines_yelp_reviews-COMB-yelp_reviews-comb-3-seed-42-2025-02-06
PAIR_headlines_yelp_reviews,best_median,2,6e-05,2,2,150,128,16,0.6579,Mistral-7B-v0.1-headlines-2024-12-28,Mistral-7B-v0.1-PAIR_headlines_yelp_reviews-COMB-headlines-comb-2-seed-42-2025-02-04
