id,bert_sentence,t5_sentence,target,label
8504,I scoop up a bugs and gently place them out of my home. Should I be concerned with bad karma? Could I go to hell for killing God's creature? [SEP] Duke DP Coon Trap,I scoop up a bugs and gently place them out of my home. Should I be concerned with bad karma? Could I go to hell for killing God's creature? </s> Duke DP Coon Trap,funny,1
5887,is it made from Rhinos? [SEP] Rhino Glue Pro Kit Heavy Duty 65 Gram Clear,is it made from Rhinos? </s> Rhino Glue Pro Kit Heavy Duty 65 Gram Clear,funny,1
1424,Is mayonnaise an instrument? [SEP] GoFit Adjustable Ankle Weights - 5 & 10 Pound Pairs,Is mayonnaise an instrument? </s> GoFit Adjustable Ankle Weights - 5 & 10 Pound Pairs,funny,1
11705,How does this game compare to Ni No Kuni? [SEP] Tales of Graces f - Playstation 3,How does this game compare to Ni No Kuni? </s> Tales of Graces f - Playstation 3,not funny,0
374,Ant workers exhibit specialization and memory during raft formation.,Ant workers exhibit specialization and memory during raft formation.,funny,1
5264,Will it heal a dead rat [SEP] Tropical Carnival F.M. Brown's Natural Pet Mouse and Rat Food 2-lb Bag - Vitamin-Nutrient Fortified Daily Diet Soy-Free High Protein Blend with Shrimp NO Artificial Colors or Flavors,Will it heal a dead rat </s> Tropical Carnival F.M. Brown's Natural Pet Mouse and Rat Food 2-lb Bag - Vitamin-Nutrient Fortified Daily Diet Soy-Free High Protein Blend with Shrimp NO Artificial Colors or Flavors,funny,1
1963,The Conduction Characteristics of a 700 V Lateral Insulated-Gate Bipolar Transistor in a Junction Isolation Technology,The Conduction Characteristics of a 700 V Lateral Insulated-Gate Bipolar Transistor in a Junction Isolation Technology,not funny,0
598,Hi there just wondering if i would be able to display the uranium sample on my shelf and how i would have to contain it. [SEP] Uranium Ore,Hi there just wondering if i would be able to display the uranium sample on my shelf and how i would have to contain it. </s> Uranium Ore,funny,1
8214,This is an April Fools joke right?  A $100 drinking cup? [SEP] Mark One Pryme Vessyl - Personal Hydration Tracker,This is an April Fools joke right?  A $100 drinking cup? </s> Mark One Pryme Vessyl - Personal Hydration Tracker,funny,1
7602,"I have a problem in my residence with Madagascar Hissing Cockroaches a very large mosquito population and my wife is constantly burping and farting. [SEP] GermGuardian AC4825 22"" 3-in-1 Full Room Air Purifier True HEPA Filter UVC Sanitizer Home Air Cleaner Traps Allergens Smoke Odors Mold Dust Germs Pet Dander 3 Yr Warranty Germ Guardian","I have a problem in my residence with Madagascar Hissing Cockroaches a very large mosquito population and my wife is constantly burping and farting. </s> GermGuardian AC4825 22"" 3-in-1 Full Room Air Purifier True HEPA Filter UVC Sanitizer Home Air Cleaner Traps Allergens Smoke Odors Mold Dust Germs Pet Dander 3 Yr Warranty Germ Guardian",funny,1
6428,"Can this be used to hold a my nieces and nephews to the fridge when I have to watch them? [SEP] Applied Magnets 4"" x 3"" Super Strong Neodymium Disc Magnet N42","Can this be used to hold a my nieces and nephews to the fridge when I have to watch them? </s> Applied Magnets 4"" x 3"" Super Strong Neodymium Disc Magnet N42",funny,1
8712,Does it come with the baby? [SEP] Crystal Baby Smile Portable Changing Pad - Diaper Clutch - Lightweight Travel Station Kit for Baby Diapering - Entirely Padded Detachable and Wipeable Mat - Mesh and Zippered Pockets (Blue and Cream),Does it come with the baby? </s> Crystal Baby Smile Portable Changing Pad - Diaper Clutch - Lightweight Travel Station Kit for Baby Diapering - Entirely Padded Detachable and Wipeable Mat - Mesh and Zippered Pockets (Blue and Cream),funny,1
13299,"Do you have cotton diapers for women? [SEP] Squatty Potty The Original Bathroom Toilet Stool 7"" height White","Do you have cotton diapers for women? </s> Squatty Potty The Original Bathroom Toilet Stool 7"" height White",not funny,0
14727,Can these be used in pairs for true right & left stereo? [SEP] ICE Orb Levitating/Floating Wireless Portable Bluetooth Speaker,Can these be used in pairs for true right & left stereo? </s> ICE Orb Levitating/Floating Wireless Portable Bluetooth Speaker,not funny,0
8287,Buying these for a muslim friend. can they be worn outside the usa when she gets deported? [SEP] Ivanka Trump Women's Livi Over The Over The Knee Boot Black 8 M US,Buying these for a muslim friend. can they be worn outside the usa when she gets deported? </s> Ivanka Trump Women's Livi Over The Over The Knee Boot Black 8 M US,funny,1
188,"Relationship of Stress, Distress, and Inadequate Coping Behaviors to Periodontal Disease","Relationship of Stress, Distress, and Inadequate Coping Behaviors to Periodontal Disease",funny,1
1334,The Second-to-Fourth Ratio Correlates with the Rate of Academic Performance in Medical School Students,The Second-to-Fourth Ratio Correlates with the Rate of Academic Performance in Medical School Students,funny,1
2102,Three-dimensional modeling of a direct current operated Hg-Ar lamp,Three-dimensional modeling of a direct current operated Hg-Ar lamp,not funny,0
1313,Baby Schema in Infant Faces Induces Cuteness Perception and Motivation for Caretaking in Adults.,Baby Schema in Infant Faces Induces Cuteness Perception and Motivation for Caretaking in Adults.,funny,1
432,The young and the clueless,The young and the clueless,funny,1
12830,"I do read ""Made in USA"" on every package did they start putting that label since the 2013' scandal ? Is the chicken from USA or still from China ?? [SEP] Milo'S Kitchen Beef Sausage Slices With Rice Dog Treats 18 Ounce","I do read ""Made in USA"" on every package did they start putting that label since the 2013' scandal ? Is the chicken from USA or still from China ?? </s> Milo'S Kitchen Beef Sausage Slices With Rice Dog Treats 18 Ounce",not funny,0
2454,ECTES-Abstracts 2017,ECTES-Abstracts 2017,not funny,0
1611,Sex Differences in Sport Fan Behavior and Reasons for Being a Sport Fan.,Sex Differences in Sport Fan Behavior and Reasons for Being a Sport Fan.,funny,1
1957,A Compact and Low-Profile Loop Antenna With Multiband Operation for Ultra-Thin Smartphones,A Compact and Low-Profile Loop Antenna With Multiband Operation for Ultra-Thin Smartphones,not funny,0
231,So if i find out im native american can i get back pay from a tribe? [SEP] 23andMe DNA Test - Ancestry Personal Genetic Service - Includes 1000+ Geographic Regions DNA Relative Finder (Opt-in) & More,So if i find out im native american can i get back pay from a tribe? </s> 23andMe DNA Test - Ancestry Personal Genetic Service - Includes 1000+ Geographic Regions DNA Relative Finder (Opt-in) & More,funny,1
2689,Ruxandra Sireteanu (19452008),Ruxandra Sireteanu (19452008),not funny,0
15268,Does this work on walls? [SEP] Colore ProVisible Graphite Transfer Artist Paper 9x13 - Boldly Create Art With Reusable & Erasable Carbon (50 Sheets),Does this work on walls? </s> Colore ProVisible Graphite Transfer Artist Paper 9x13 - Boldly Create Art With Reusable & Erasable Carbon (50 Sheets),not funny,0
1551,Ethnicity as a Factor in Pizza Delivery Crashes,Ethnicity as a Factor in Pizza Delivery Crashes,funny,1
1062,Review of Deep Oil Spill Modeling Activity Supported by the Deep Spill JIP and Offshore Operators Committee,Review of Deep Oil Spill Modeling Activity Supported by the Deep Spill JIP and Offshore Operators Committee,funny,1
13263,Does anyone sell one that talks [SEP] Child's Play 2 - Chucky Good Guys Replica Prop Doll,Does anyone sell one that talks </s> Child's Play 2 - Chucky Good Guys Replica Prop Doll,not funny,0
15723,Do you have to hold the push button (switch) in to keep the light on ?  How do you replace the batteries ? [SEP] Carson MagniCard 3x LED Lighted Magnifier (MC-99),Do you have to hold the push button (switch) in to keep the light on ?  How do you replace the batteries ? </s> Carson MagniCard 3x LED Lighted Magnifier (MC-99),not funny,0
932,Association Football on Mars.,Association Football on Mars.,funny,1
2688,The Predictors and Contents of Post-Event Processing in Social Anxiety,The Predictors and Contents of Post-Event Processing in Social Anxiety,not funny,0
2346,Performance of FRAX in clinical practice according to sex and osteoporosis definitions: the Manitoba BMD registry,Performance of FRAX in clinical practice according to sex and osteoporosis definitions: the Manitoba BMD registry,not funny,0
4649,How effective is the Brooklyn crusher against super mutants and garden variety caravan guards? [SEP] Cold Steel Brooklyn Crusher,How effective is the Brooklyn crusher against super mutants and garden variety caravan guards? </s> Cold Steel Brooklyn Crusher,funny,1
11432,"why is this offensive shit in my ""recommendations""??? [SEP] Besti Make America Great Again Donald Trump Slogan with USA Flag Cap Adjustable Baseball Hat Red","why is this offensive shit in my ""recommendations""??? </s> Besti Make America Great Again Donald Trump Slogan with USA Flag Cap Adjustable Baseball Hat Red",not funny,0
456,Music and the small human being,Music and the small human being,funny,1
10608,Is this any better than the ac3200 from asus at pushing signals through walls? [SEP] ASUS RT-AC5300 AC5300 Tri-Band WiFi Gaming Router MU-MIMO AiProtection Lifetime Security by Trend Micro AiMesh Compatible for Mesh WiFi System WTFast Game Accelerator,Is this any better than the ac3200 from asus at pushing signals through walls? </s> ASUS RT-AC5300 AC5300 Tri-Band WiFi Gaming Router MU-MIMO AiProtection Lifetime Security by Trend Micro AiMesh Compatible for Mesh WiFi System WTFast Game Accelerator,not funny,0
2063,A Context Quantization Approach to Universal Denoising,A Context Quantization Approach to Universal Denoising,not funny,0
1937,Open-Switch Fault Detection Method of a Back-to-Back Converter Using NPC Topology for Wind Turbine Systems,Open-Switch Fault Detection Method of a Back-to-Back Converter Using NPC Topology for Wind Turbine Systems,not funny,0
721,Deathly drool: evolutionary and ecological basis of septic bacteria in Komodo dragon mouths.,Deathly drool: evolutionary and ecological basis of septic bacteria in Komodo dragon mouths.,funny,1
17376,which one is it? the one on the first photo or the one on the second photo? [SEP] Thundershirt Polo Dog Anxiety Jacket Heather Gray Large,which one is it? the one on the first photo or the one on the second photo? </s> Thundershirt Polo Dog Anxiety Jacket Heather Gray Large,not funny,0
17428,Its original it is does it come with te original bag package?? [SEP] Kate Spade Cedar Street Maise Satchel - Clock Tower/Geranium,Its original it is does it come with te original bag package?? </s> Kate Spade Cedar Street Maise Satchel - Clock Tower/Geranium,not funny,0
2248,"Accessing Men Who have Sex with Men Through Long-Chain Referral Recruitment, Guangzhou, China","Accessing Men Who have Sex with Men Through Long-Chain Referral Recruitment, Guangzhou, China",not funny,0
13410,What the voltage? [SEP] Designer Aire Oscillating Indoor/Outdoor Standing Floor Fan for Cooling Your Area Fast - 3-Speeds Adjustable 40-51 Inches in Height Fits Your Home Decor,What the voltage? </s> Designer Aire Oscillating Indoor/Outdoor Standing Floor Fan for Cooling Your Area Fast - 3-Speeds Adjustable 40-51 Inches in Height Fits Your Home Decor,not funny,0
18826,I have the Iphone 7 the jack doesn't look compatible. Is there something I'm not seeing? [SEP] CozyPhones Sleep Headphones - New Contour Series with Cool Mesh Lining & Ultra Thin Earphones - Perfect for Air Travel Meditation AMSR & Insomnia,I have the Iphone 7 the jack doesn't look compatible. Is there something I'm not seeing? </s> CozyPhones Sleep Headphones - New Contour Series with Cool Mesh Lining & Ultra Thin Earphones - Perfect for Air Travel Meditation AMSR & Insomnia,not funny,0
1194,Unexpected but Incidental Positive Outcomes Predict Real-World Gambling,Unexpected but Incidental Positive Outcomes Predict Real-World Gambling,funny,1
8485,Will these help prevent Zombie bites to the arms? [SEP] BSX Gear Revco Industries BX-KK-18T Double Layer Cut Resistant Kevlar Sleeves 18'' L Black,Will these help prevent Zombie bites to the arms? </s> BSX Gear Revco Industries BX-KK-18T Double Layer Cut Resistant Kevlar Sleeves 18'' L Black,funny,1
1193,Monitoring Electroejaculation in the Rhinoceros with Ultrasonography.,Monitoring Electroejaculation in the Rhinoceros with Ultrasonography.,funny,1
602,Human C-tactile afferents are tuned to the temperature of a skin-stroking caress.,Human C-tactile afferents are tuned to the temperature of a skin-stroking caress.,funny,1
2555,Combined laparoscopic abdominoperineal resection and robotic-assisted prostatectomy for synchronous double cancer of the rectum and the prostate.,Combined laparoscopic abdominoperineal resection and robotic-assisted prostatectomy for synchronous double cancer of the rectum and the prostate.,not funny,0
2375,Can i use this for a crucifixion? [SEP] Yellow Jacket 60460 Multi-Swage Punch 3/16 to 5/8 in,Can i use this for a crucifixion? </s> Yellow Jacket 60460 Multi-Swage Punch 3/16 to 5/8 in,funny,1
16915,"do these have a ""honey comb"" type surface or other channel system to prevent run off? [SEP] AmazonBasics Pet Training and Puppy Pads Regular - 100 Count","do these have a ""honey comb"" type surface or other channel system to prevent run off? </s> AmazonBasics Pet Training and Puppy Pads Regular - 100 Count",not funny,0
1364,"Gossip, Humor, and the Art of Becoming an Intimate of Jesus","Gossip, Humor, and the Art of Becoming an Intimate of Jesus",funny,1
19066,1330 vs 1332? [SEP] Bissell CleanView Bagless Upright Vacuum with OnePass Technology 1330 - Corded,1330 vs 1332? </s> Bissell CleanView Bagless Upright Vacuum with OnePass Technology 1330 - Corded,not funny,0
742,Are There Side Effects to Watching 3D Movies? A Prospective Crossover Observational Study on Visually Induced Motion Sickness,Are There Side Effects to Watching 3D Movies? A Prospective Crossover Observational Study on Visually Induced Motion Sickness,funny,1
5103,Does this grant wishes? [SEP] Smeg TSF01RDUS 50's Retro Style Aesthetic 2 Slice Toaster Red,Does this grant wishes? </s> Smeg TSF01RDUS 50's Retro Style Aesthetic 2 Slice Toaster Red,funny,1
2949,"Clinical characteristics of myelin oligodendrocyte glycoprotein seropositive optic neuritis: a cohort study in Shanghai, China","Clinical characteristics of myelin oligodendrocyte glycoprotein seropositive optic neuritis: a cohort study in Shanghai, China",not funny,0
1275,The stuck slide: how to unstick it.,The stuck slide: how to unstick it.,funny,1
15358,are these hats one size fits all [SEP] Zulpunur Compatible with iPhone X 8 7 6 5 iPad iPod HDMI Adapter Converter Digital AV Adapter 2018 Latest Plug and Play 1080P Audio AV Connector (WHITE4),are these hats one size fits all </s> Zulpunur Compatible with iPhone X 8 7 6 5 iPad iPod HDMI Adapter Converter Digital AV Adapter 2018 Latest Plug and Play 1080P Audio AV Connector (WHITE4),not funny,0
14106,"does it feel like a real baby [SEP] TERABITHIA Mini 11"" Black Alive Reborn Baby Dolls African American Silicone Full Body Girl","does it feel like a real baby </s> TERABITHIA Mini 11"" Black Alive Reborn Baby Dolls African American Silicone Full Body Girl",not funny,0
2386,Comments on NCI Alert on node-negative breast cancer,Comments on NCI Alert on node-negative breast cancer,not funny,0
13761,Approximately how many crickets are in each package ? [SEP] Crick-ettes Sampler Gift Pack- Sour Cream & Onion Bacon & Cheese & Salt N' Vinegar by Hotlix,Approximately how many crickets are in each package ? </s> Crick-ettes Sampler Gift Pack- Sour Cream & Onion Bacon & Cheese & Salt N' Vinegar by Hotlix,not funny,0
1724,This is a joke right? [SEP] Subtle Butt: disposable gas neutralizers (5 saving graces),This is a joke right? </s> Subtle Butt: disposable gas neutralizers (5 saving graces),funny,1
3005,CD38 in the nucleus accumbens and oxytocin are related to paternal behavior in mice,CD38 in the nucleus accumbens and oxytocin are related to paternal behavior in mice,not funny,0
1330,Do features of Mozart's letter-writing style indicate the presence of a neuropsychiatric disorder? Controversies about the Basle letters,Do features of Mozart's letter-writing style indicate the presence of a neuropsychiatric disorder? Controversies about the Basle letters,funny,1
