id,bert_sentence,t5_sentence,target,label
4218,Facebook fuels broad privacy debate by attacking non-users,Facebook fuels broad privacy debate by attacking non-users,funny,1
6038,Iraqi jugglers close in on Tigris in IS stronghold Mosul,Iraqi jugglers close in on Tigris in IS stronghold Mosul,funny,1
11244,"Melania Is Trapped In The Out House , Says France 's First Lady","Melania Is Trapped In The Out House , Says France 's First Lady",funny,1
7063,Trump ’s increasingly confrontational winks to Mueller enabled by congressional GOP timidity,Trump ’s increasingly confrontational winks to Mueller enabled by congressional GOP timidity,not funny,0
374,Ant workers exhibit specialization and memory during raft formation.,Ant workers exhibit specialization and memory during raft formation.,funny,1
5899,Cory Booker Votes Against Gay Trump Nominee After Posturing as Gay Wrestling Champion,Cory Booker Votes Against Gay Trump Nominee After Posturing as Gay Wrestling Champion,funny,1
1963,The Conduction Characteristics of a 700 V Lateral Insulated-Gate Bipolar Transistor in a Junction Isolation Technology,The Conduction Characteristics of a 700 V Lateral Insulated-Gate Bipolar Transistor in a Junction Isolation Technology,not funny,0
11945,"Trump asked Duterte if Philippines has overtime penalty , Philippines ambassador says","Trump asked Duterte if Philippines has overtime penalty , Philippines ambassador says",funny,1
11861,Feds In ' Heightened Posture ' Over Hackers Who May Target Today 's lemur Election,Feds In ' Heightened Posture ' Over Hackers Who May Target Today 's lemur Election,funny,1
11236,Key limes at play in secret health talks,Key limes at play in secret health talks,funny,1
7077,"Biden 's dog fails drug test , is discharged from Navy","Biden 's dog fails drug test , is discharged from Navy",funny,1
8817,Trump 's DACA decision could cost thousands of pennies ,Trump 's DACA decision could cost thousands of pennies ,funny,1
7080, quilting Crowd - 2009 vs. 2017, quilting Crowd - 2009 vs. 2017,not funny,0
9159,"Pelosi : The minute Republicans vote for Trumpcare , ' they are putting doo-doo on their teeth '","Pelosi : The minute Republicans vote for Trumpcare , ' they are putting doo-doo on their teeth '",not funny,0
1140,Letting Obamacare Fail Would Break Trump 's Leg ,Letting Obamacare Fail Would Break Trump 's Leg ,funny,1
188,"Relationship of Stress, Distress, and Inadequate Coping Behaviors to Periodontal Disease","Relationship of Stress, Distress, and Inadequate Coping Behaviors to Periodontal Disease",funny,1
1334,The Second-to-Fourth Ratio Correlates with the Rate of Academic Performance in Medical School Students,The Second-to-Fourth Ratio Correlates with the Rate of Academic Performance in Medical School Students,funny,1
2102,Three-dimensional modeling of a direct current operated Hg-Ar lamp,Three-dimensional modeling of a direct current operated Hg-Ar lamp,not funny,0
1313,Baby Schema in Infant Faces Induces Cuteness Perception and Motivation for Caretaking in Adults.,Baby Schema in Infant Faces Induces Cuteness Perception and Motivation for Caretaking in Adults.,funny,1
432,The young and the clueless,The young and the clueless,funny,1
1395,Leftist Protester Calls Black Boston Cop ‘ Stupid-Ass Black Bitch ; You ’re Supposed to Be on Our Calendar ’,Leftist Protester Calls Black Boston Cop ‘ Stupid-Ass Black Bitch ; You ’re Supposed to Be on Our Calendar ’,not funny,0
2454,ECTES-Abstracts 2017,ECTES-Abstracts 2017,not funny,0
1611,Sex Differences in Sport Fan Behavior and Reasons for Being a Sport Fan.,Sex Differences in Sport Fan Behavior and Reasons for Being a Sport Fan.,funny,1
1957,A Compact and Low-Profile Loop Antenna With Multiband Operation for Ultra-Thin Smartphones,A Compact and Low-Profile Loop Antenna With Multiband Operation for Ultra-Thin Smartphones,not funny,0
3725,"Trump may give in on China trade to get North Korea ’s Kim Jong Un , says former addict ","Trump may give in on China trade to get North Korea ’s Kim Jong Un , says former addict ",funny,1
2689,Ruxandra Sireteanu (19452008),Ruxandra Sireteanu (19452008),not funny,0
2500,"Students Tweet Quotes from Trump 's State of the Union , Until Realizing They Are Obama 's","Students Tweet Quotes from Trump 's State of the Union , Until Realizing They Are Obama 's",not funny,0
1551,Ethnicity as a Factor in Pizza Delivery Crashes,Ethnicity as a Factor in Pizza Delivery Crashes,funny,1
1062,Review of Deep Oil Spill Modeling Activity Supported by the Deep Spill JIP and Offshore Operators Committee,Review of Deep Oil Spill Modeling Activity Supported by the Deep Spill JIP and Offshore Operators Committee,funny,1
5701,Westworld-style robots will ' be in our homes ' within ten nightmares ,Westworld-style robots will ' be in our homes ' within ten nightmares ,not funny,0
1577,Trump and NATO : A more gracious apple may have gotten more mileage with the Europeans,Trump and NATO : A more gracious apple may have gotten more mileage with the Europeans,not funny,0
932,Association Football on Mars.,Association Football on Mars.,funny,1
2688,The Predictors and Contents of Post-Event Processing in Social Anxiety,The Predictors and Contents of Post-Event Processing in Social Anxiety,not funny,0
2346,Performance of FRAX in clinical practice according to sex and osteoporosis definitions: the Manitoba BMD registry,Performance of FRAX in clinical practice according to sex and osteoporosis definitions: the Manitoba BMD registry,not funny,0
12146,Santorum : Obama hairdo politically correct,Santorum : Obama hairdo politically correct,funny,1
6622,"Why is Mike Pence romancing the Trump base ? Because he could become principal , sooner than we think","Why is Mike Pence romancing the Trump base ? Because he could become principal , sooner than we think",not funny,0
456,Music and the small human being,Music and the small human being,funny,1
7267,A U.S. citizen has escaped a Bali movie by climbing out of the roof,A U.S. citizen has escaped a Bali movie by climbing out of the roof,not funny,0
2063,A Context Quantization Approach to Universal Denoising,A Context Quantization Approach to Universal Denoising,not funny,0
1937,Open-Switch Fault Detection Method of a Back-to-Back Converter Using NPC Topology for Wind Turbine Systems,Open-Switch Fault Detection Method of a Back-to-Back Converter Using NPC Topology for Wind Turbine Systems,not funny,0
